% Model:              230406 -Langevin, stepped-horn and plate.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 6 2023, 23:21
% Dimension:          1
% Nodes:              1601
% Expressions:        1
% Description:        Point graph
% freq (Hz)               abs(solid2.u_tZ)
16218.100973589299        0.0010008033170830057
16241.457499391088        0.0010085711622765912
16264.847662133347        0.0010164966431586116
16288.27151025844         0.0010245857951004323
16311.729092278396        0.001032844966046592
16335.220456775107        0.0010412808372512918
16358.745652400532        0.0010499004456858494
16382.304727876595        0.0010587112082763505
16405.89773199539         0.0010677209481486716
16429.52471361937         0.0010769379230775385
16453.185721681235        0.0010863708563586256
16476.880805184283        0.0010960289703483923
16500.610013202288        0.0011059220229442475
16524.37339487969         0.0011160603473107042
16548.170999431815        0.0011264548951935673
16572.002876144757        0.0011371172842059721
16595.869074375598        0.0011480598495182373
16619.769643552594        0.0011592957004375195
16643.704633175086        0.0011708387824255963
16667.674092813708        0.00118270394517494
16691.678072110582        0.0011949070174449312
16715.716620779178        0.0012074648894545461
16739.78978860471         0.0012203956037375762
16763.89762544398         0.0012337184554915902
16788.040181225588        0.0012474541035992505
16812.217505950157        0.0012616246936700026
16836.429649690195        0.0012762539946483418
16860.676662590336        0.0012913675507671399
16884.958594867534        0.001306992850895252
16909.275496810948        0.0013231595176475862
16933.62741878217         0.0013398995190022584
16958.014411215423        0.0013572474056131175
16982.43652461746         0.0013752405775328668
17006.893809567766        0.0013939195846895194
17031.386316718777        0.0014133284662068532
17055.914096795736        0.0014335151345561872
17080.477200597077        0.0014545318116064646
17105.07567899429         0.0014764355249401483
17129.70958293212         0.0014992886743826232
17154.37896342879         0.001523159680613297
17179.083871575895        0.001548123730076058
17203.824358538604        0.001574263633293693
17228.60047555588         0.001601670817252249
17253.412273940372        0.0016304464769403215
17278.259805078626        0.0016607029166407342
17303.1431204313          0.0016925651184832803
17328.06227153302         0.0017261725844868007
17353.017309992774        0.0017616815093891857
17378.00828749376         0.0017992673557033388
17403.035255793624        0.0018391279206335723
17428.098266724643        0.0018814870080629414
17453.197372193634        0.001926598849614221
17478.332624182174        0.001974753459334388
17503.50407474681         0.0020262831604080053
17528.711776018943        0.002081570594512422
17553.95578020506         0.0021410586222087354
17579.23613958693         0.0022052626565852874
17604.55290652152         0.002274786157633868
17629.906133441193        0.0023503402744934764
17655.295872853927        0.0024327689914710442
17680.722177343177        0.002523081665100767
17706.185099568283        0.0026224956171713503
17731.684692264294        0.0027324926063656153
17757.22100824222         0.0028548947571627853
17782.794100389227        0.0029919682433556085
17808.404021668546        0.003146567329386987
17834.050825119673        0.003322338366551449
17859.73456385861         0.003524015026171474
17885.45529107773         0.0037578562057056105
17911.213060046026        0.004032314082548165
17937.007924109308        0.004359086958521044
17962.839936690067        0.004754842878444716
17988.709151287872        0.005244171714537281
18014.615621479246        0.005864924577437569
18040.55940091785         0.0066785428449280615
18066.540543334733        0.007791816879747446
18092.55910253822         0.00940815257439311
18118.61513241412         0.011968586586752492
18144.708686925966        0.01664068968887568
18170.839820114878        0.027842820514457814
18197.008586099826        0.08748986635764894
18223.21503907781         0.0619118935755485
18249.459233323792        0.023413274680195426
18275.741223190875        0.014167060729285726
18302.061063110566        0.01004111589050069
18328.41880759261         0.007706309164548242
18354.814511225402        0.006204333171203462
18381.24822867584         0.005156834235669661
18407.720014689545        0.0043844435335829495
18434.229924091105        0.0037911883547522627
18460.778011783943        0.00332107833694268
18487.364332750552        0.002939251075689111
18513.98894205272         0.002622866442539775
18540.651894831426        0.002356336003005953
18567.353246307055        0.0021286568639286045
18594.093051779626        0.0019318411558657761
18620.871366628657        0.0017599495685688858
18647.688246313566        0.0016084742292550227
18674.54374637353         0.0014739319804634228
18701.43792242771         0.0013535888722028043
18728.370830175485        0.001245269003384543
18755.342525396325        0.001147219047910241
18782.35306395004         0.001058010417762997
18809.402501777           9.764674043918941E-4
18836.49089489802         9.016135920806736E-4
18863.618299414597        8.326313433234432E-4
18890.784771509134        7.688307813844831E-4
18917.99036744483         7.096257704679689E-4
18945.235143565915        6.545151185208359E-4
18972.519156297876        6.030677242563211E-4
18999.84246214731         5.549107355557301E-4
19027.205117702342        5.097200303321938E-4
19054.607179632483        4.6721250540237224E-4
19082.04870468885         4.271397852136031E-4
19109.529749704405        3.892830547721347E-4
19137.050371593854        3.534487895944527E-4
19164.610627353853        3.194652067400642E-4
19192.210574063272        2.871792997578841E-4
19219.850268883056        2.564543501237092E-4
19247.52976905648         2.2716783105877495E-4
19275.249131909368        1.9920963869523144E-4
19303.008414849945        1.724806027796478E-4
19330.807675369273        1.468912484065915E-4
19358.646971041093        1.2236081115453743E-4
19386.526359522057        9.881658050432195E-5
19414.445898551974        7.619387884552052E-5
19442.40564595368         5.443797772623611E-5
19470.4056596333          3.3515540718165176E-5
19498.445997580457        1.3530996314928075E-5
19526.52671786817         7.270477823823015E-6
19554.6478786531          2.555106034818154E-5
19582.80953817578         4.372984765617812E-5
19611.011754760497        6.138619950754697E-5
19639.254586815525        7.851576986457198E-5
19667.53809283339         9.514051789667573E-5
19695.862331390686        1.1128623020894618E-4
19724.227361148533        1.2697855624693144E-4
19752.633240852407        1.4224202115283087E-4
19781.08002933238         1.5709977230541925E-4
19809.567785503386        1.7157355228026035E-4
19838.096568365072        1.8568374999944497E-4
19866.66643700205         1.9944947894686162E-4
19895.277450584163        2.128886627939432E-4
19923.92966836632         2.2601812039394208E-4
19952.62314968879         2.3885364681765483E-4
19981.357953977404        2.514100891527074E-4
20010.134140743423        2.637014167200447E-4
20038.95176958398         2.7574078579253874E-4
20067.8109001819          2.875405990946043E-4
20096.711592305976        2.9911256044270156E-4
20125.65390581119         3.104677249088342E-4
20154.637900638598        3.216165448836751E-4
20183.663636815596        3.3256891239717213E-4
20212.731174456138        3.433341980288637E-4
20241.840573760634        3.539212867131373E-4
20270.991895016185        3.6433861071814784E-4
20300.185198596846        3.7459418005122036E-4
20329.42054496349         3.8469561051971156E-4
20358.69799466407         3.946501496549751E-4
20388.017608333856        4.044647006867571E-4
20417.379446695275        4.1414584473748763E-4
20446.783570558375        4.2369986139016724E-4
20476.230040820647        4.331327477682582E-4
20505.718918467293        4.42450236253685E-4
20535.25026457146         4.5165781095672235E-4
20564.82414029413         4.60760723041128E-4
20594.440606884367        4.697640049986068E-4
20624.09972567956         4.786724839578888E-4
20653.80155810531         4.874907941059819E-4
20683.546165675692        4.962233882926132E-4
20713.333609993486        5.048745488822383E-4
20743.163952750016        5.13448397912449E-4
20773.03725572563         5.21948906612904E-4
20802.95358078952         5.303799043336606E-4
20832.912989899974        5.387450869283254E-4
20862.915545104646        5.47048024633243E-4
20892.96130854041         5.552921694805673E-4
20923.05034243363         5.634808622803106E-4
20953.182709100416        5.716173392032995E-4
20983.358470946496        5.797047379945036E-4
21013.577690467468        5.877461038441255E-4
21043.84043024906         5.957443949414917E-4
21074.146752967004        6.03702487734853E-4
21104.496721387306        6.116231819187369E-4
21134.890398366475        6.195092051686679E-4
21165.32784685139         6.273632176415456E-4
21195.809129879737        6.351878162590886E-4
21226.33431057987         6.429855387899266E-4
21256.903452171053        6.507588677454108E-4
21287.516617963727        6.58510234102853E-4
21318.17387135937         6.662420208689739E-4
21348.875275850784        6.739565664958281E-4
21379.620895022323        6.816561681603756E-4
21410.4107925498          6.893430849182116E-4
21441.245032200713        6.970195407415952E-4
21472.12367783454         7.046877274510641E-4
21503.046793402544        7.123498075493705E-4
21534.01444294826         7.200079169663793E-4
21565.026690607334        7.276641677225421E-4
21596.08360060777         7.353206505187449E-4
21627.1852372702          7.429794372596189E-4
21658.33166500776         7.506425835170636E-4
21689.522948326354        7.583121309407707E-4
21720.759151824903        7.659901096219422E-4
21752.040340195246        7.736785404162286E-4
21783.36657822237         7.813794372319422E-4
21814.737930784708        7.890948092892069E-4
21846.154462853992        7.968266633554717E-4
21877.616239495517        8.045770059630734E-4
21909.123325868426        8.123478456140808E-4
21940.67578722551         8.201411949775865E-4
21972.273688913727        8.279590730849382E-4
22003.917096373996        8.358035075277497E-4
22035.60607514149         8.436765366641604E-4
22067.340690845896        8.515802118383894E-4
22099.12100921128         8.595165996186903E-4
22130.947096056363        8.674877840591807E-4
22162.81901729479         8.754958689907554E-4
22194.736838934994        8.835429803464021E-4
22226.70062708047         8.916312685266787E-4
22258.710447930054        8.997629108108915E-4
22290.76636777773         9.079401138197201E-4
22322.86845301314         9.161651160355715E-4
22355.0167701214          9.244401903865733E-4
22387.21138568338         9.327676469009293E-4
22419.452366375957        9.411498354382821E-4
22451.73977897192         9.495891485049854E-4
22484.073690340203        9.580880241608513E-4
22516.45416744618         9.666489490249947E-4
22548.88127735154         9.75274461388755E-4
22581.35508721453         9.839671544444554E-4
22613.87566429028         9.927296796389175E-4
22646.44307593062         0.0010015647501611469
22679.057389584377        0.0010104751445745015
22711.718672797666        0.001019463710603965
22744.426993213678        0.0010285333690897645
22777.18241857322         0.0010376871181197907
22809.985016714505        0.001046928037353336
22842.834855573456        0.0010562592925502567
22875.732003183955        0.0010656841403201692
22908.676527677748        0.0010752059331073068
22941.668497284678        0.0010848281244281437
22974.707980333           0.0010945542743797786
23007.795045249237        0.0011043880554383564
23040.929760558447        0.00111433325856866
23074.112194884518        0.0011243937996671795
23107.342416949978        0.0011345737263627025
23140.620495576517        0.0011448772252008266
23173.946499684796        0.001155308629240061
23207.320498294735        0.0011658724260902315
23240.74256052579         0.0011765732664258575
23274.212755596815        0.0011874159730098494
23307.731152826364        0.0011984055502662402
23341.297821632943        0.0012095471944434813
23374.912831534904        0.0012208463044133845
23408.57625215071         0.0012323084931550794
23442.288153199228        0.001243939599977254
23476.048604499585        0.0012557457035365922
23509.857675971467        0.0012677331357160218
23543.71543763539         0.001279908496431582
23577.621959612523        0.0012922786694430821
23611.577312125206        0.0013048508392512384
23645.58156549677         0.001317632509170778
23679.63479015183         0.0013306315206784694
23713.737056616552        0.0013438560741438948
23747.888435518536        0.0013573147510613458
23782.0889975871          0.0013710165379132813
23816.33881365355         0.0013849708518083982
23850.637954651076        0.0013991875680517782
23884.98649161501         0.001413677049821169
23919.384495683134        0.001428450180141079
23953.83203809549         0.0014435183963663995
23988.329190194898        0.0014588937274105725
24022.876023426794        0.0014745888339775701
24057.47260933949         0.0014906170520864153
24092.11901958449         0.0015069924402084003
24126.815325916352        0.001523729830373046
24161.561600192956        0.0015408448836402332
24196.357914375818        0.0015583541503813054
24231.204340529952        0.0015762751358639649
24266.100950824144        0.0015946263716954756
24301.04781753127         0.0016134274937452298
24336.04501302814         0.0016326993272439768
24371.092609795796        0.0016524639798449735
24406.19068041981         0.001672744943531057
24441.339297590104        0.001693567206365717
24476.538534101463        0.001714957375217935
24511.788462853365        0.0017369438107395195
24547.089156850285        0.0017595567760485327
24582.440689201972        0.0017828286007716583
24617.843133123326        0.0018067938623302013
24653.296561934672        0.001831489586624261
24688.80104906209         0.0018569554705819254
24724.356668037253        0.0018832341294053568
24759.963492497725        0.0019103713717737864
24795.62159618728         0.0019384165067635423
24831.331052955677        0.0019674226868343823
24867.09193675925         0.0019974472919282583
24902.904321660677        0.0020285523605471745
24938.7682818293          0.0020608050746563663
24974.683891541434        0.002094278306421368
25010.6512251802          0.0021290512361791946
25046.670357235856        0.002165210052714599
25082.741362306075        0.002202848748921851
