freq	 01Vpk	 02Vpk	 05Vpk	 10Vpk	 20Vpk	 50Vpk
Hz	 m/s	 m/s	 m/s	 m/s	 m/s	 m/s
1.057884e+04	 2.697424e-05	 5.524361e-05	 1.334495e-04	 2.507312e-04	 4.968492e-04	 1.280016e-03
1.059075e+04	 2.339414e-05	 5.110064e-05	 1.227853e-04	 2.311863e-04	 4.623637e-04	 7.907889e-04
1.060267e+04	 2.359186e-05	 4.788023e-05	 1.125217e-04	 2.156782e-04	 4.273482e-04	 1.089238e-03
1.061461e+04	 2.116262e-05	 4.343131e-05	 1.063846e-04	 2.042626e-04	 3.852041e-04	 9.985665e-04
1.062657e+04	 1.928751e-05	 3.849328e-05	 9.486800e-05	 1.835598e-04	 3.629329e-04	 9.058410e-04
1.063853e+04	 1.596289e-05	 3.508712e-05	 8.542121e-05	 1.649505e-04	 3.316863e-04	 8.244895e-04
1.065051e+04	 1.477373e-05	 3.195714e-05	 7.585140e-05	 1.514617e-04	 2.916848e-04	 7.413314e-04
1.066250e+04	 1.370714e-05	 2.901032e-05	 6.919803e-05	 1.337938e-04	 2.622273e-04	 6.554535e-04
1.067451e+04	 1.271111e-05	 2.452060e-05	 6.393810e-05	 1.245296e-04	 2.388967e-04	 5.871030e-04
1.068653e+04	 1.171948e-05	 2.256762e-05	 5.441195e-05	 1.091594e-04	 2.160691e-04	 5.276700e-04
1.069856e+04	 1.104627e-05	 2.066837e-05	 5.046946e-05	 9.197574e-05	 1.825770e-04	 4.680216e-04
1.071061e+04	 8.966031e-06	 1.721315e-05	 4.489777e-05	 8.166321e-05	 1.656116e-04	 4.185007e-04
1.072267e+04	 2.718534e-06	 1.499206e-05	 3.978625e-05	 7.219232e-05	 1.458345e-04	 3.754036e-04
1.073475e+04	 7.497438e-06	 1.455592e-05	 3.578650e-05	 6.682154e-05	 1.337752e-04	 3.489788e-04
1.074683e+04	 5.985365e-06	 1.247999e-05	 3.279887e-05	 6.236361e-05	 1.312715e-04	 3.351030e-04
1.075894e+04	 6.309002e-06	 1.304648e-05	 3.213518e-05	 6.251632e-05	 1.253323e-04	 3.256069e-04
1.077105e+04	 6.690883e-06	 1.292388e-05	 3.180247e-05	 6.330766e-05	 1.308461e-04	 3.382439e-04
1.078318e+04	 6.713111e-06	 1.347159e-05	 3.446786e-05	 6.940965e-05	 1.390283e-04	 3.710068e-04
1.079532e+04	 9.049251e-06	 1.470717e-05	 3.589557e-05	 7.432760e-05	 1.561188e-04	 4.053523e-04
1.080748e+04	 9.041510e-06	 1.677128e-05	 3.951359e-05	 8.388158e-05	 1.637428e-04	 4.344363e-04
1.081965e+04	 9.507149e-06	 1.731308e-05	 4.204900e-05	 8.963063e-05	 1.803155e-04	 4.720107e-04
1.083183e+04	 1.041282e-05	 1.674648e-05	 4.517716e-05	 9.501787e-05	 1.904046e-04	 5.025257e-04
1.084403e+04	 1.140379e-05	 1.949647e-05	 4.932656e-05	 1.027145e-04	 2.081339e-04	 5.278878e-04
1.085624e+04	 1.223038e-05	 2.226186e-05	 5.031408e-05	 1.048760e-04	 2.186050e-04	 5.437759e-04
1.086846e+04	 1.290052e-05	 2.161433e-05	 5.357875e-05	 1.102415e-04	 2.187816e-04	 5.672492e-04
1.088070e+04	 1.207632e-05	 2.356794e-05	 5.692064e-05	 1.125861e-04	 2.337302e-04	 5.918411e-04
1.089295e+04	 1.241611e-05	 2.439253e-05	 6.053864e-05	 1.166270e-04	 2.407140e-04	 1.032614e-04
1.090522e+04	 1.323879e-05	 2.453028e-05	 5.973901e-05	 1.197682e-04	 2.438241e-04	 6.369982e-04
1.091750e+04	 1.445796e-05	 2.611922e-05	 6.228480e-05	 1.182478e-04	 2.497958e-04	 6.530240e-04
1.092979e+04	 1.363166e-05	 2.553401e-05	 6.234454e-05	 1.216306e-04	 2.524127e-04	 6.621158e-04
1.094210e+04	 1.542351e-05	 2.770759e-05	 6.340326e-05	 1.222211e-04	 2.575082e-04	 6.696043e-04
1.095442e+04	 1.423182e-05	 2.555411e-05	 6.572980e-05	 1.200774e-04	 2.580048e-04	 6.753399e-04
1.096676e+04	 1.385556e-05	 2.888322e-05	 6.724348e-05	 1.242478e-04	 2.622507e-04	 6.885675e-04
1.097911e+04	 1.426177e-05	 2.823296e-05	 6.872324e-05	 1.299251e-04	 2.577014e-04	 6.908968e-04
1.099147e+04	 1.480952e-05	 2.902342e-05	 6.978565e-05	 1.304529e-04	 2.620068e-04	 6.972291e-04
1.100385e+04	 1.431190e-05	 2.693787e-05	 6.917307e-05	 1.336445e-04	 2.652034e-04	 7.009194e-04
1.101624e+04	 1.481832e-05	 3.043082e-05	 7.054090e-05	 1.373240e-04	 2.720412e-04	 7.016371e-04
1.102864e+04	 1.500579e-05	 2.677168e-05	 7.066025e-05	 1.376789e-04	 2.728397e-04	 7.024169e-04
1.104106e+04	 1.429075e-05	 2.999698e-05	 7.101079e-05	 1.425532e-04	 2.810916e-04	 6.929885e-04
1.105349e+04	 1.511366e-05	 2.963836e-05	 7.209514e-05	 1.420978e-04	 2.831517e-04	 7.083368e-04
1.106594e+04	 1.635039e-05	 3.093612e-05	 7.162444e-05	 1.452501e-04	 2.759951e-04	 7.051149e-04
1.107840e+04	 1.419838e-05	 3.033882e-05	 7.043218e-05	 1.447078e-04	 2.883582e-04	 7.020510e-04
