Diff. freq.	SPL
Hz	dB
15245.58304	4.962E+01
15314.48763	5.113E+01
15383.39223	4.926E+01
15452.29682	5.066E+01
15521.20141	5.150E+01
15590.10601	5.162E+01
15659.0106	5.260E+01
15727.91519	5.308E+01
15796.81979	5.279E+01
15865.72438	5.291E+01
15934.62898	5.285E+01
16003.53357	5.227E+01
16072.43816	5.208E+01
16141.34276	5.136E+01
16210.24735	5.116E+01
16279.15194	4.993E+01
16348.05654	5.006E+01
16416.96113	5.037E+01
16485.86572	5.047E+01
16554.77032	5.139E+01
16623.67491	5.180E+01
16692.57951	5.222E+01
16761.4841	5.280E+01
16830.38869	5.322E+01
16899.29329	5.323E+01
16968.19788	5.357E+01
17037.10247	5.325E+01
17106.00707	5.362E+01
17174.91166	5.360E+01
17243.81625	5.322E+01
17312.72085	5.409E+01
17381.62544	5.326E+01
17450.53004	5.290E+01
17519.43463	5.352E+01
17588.33922	5.296E+01
17657.24382	5.351E+01
17726.14841	5.337E+01
17795.053	5.344E+01
17863.9576	5.481E+01
17932.86219	5.448E+01
18001.76678	5.521E+01
18070.67138	5.543E+01
18139.57597	5.517E+01
18208.48057	5.443E+01
18277.38516	5.520E+01
18346.28975	5.504E+01
18415.19435	5.451E+01
18484.09894	5.409E+01
18553.00353	5.434E+01
18621.90813	5.392E+01
18690.81272	5.439E+01
18759.71731	5.349E+01
18828.62191	5.322E+01
18897.5265	5.301E+01
18966.4311	5.314E+01
19035.33569	5.301E+01
19104.24028	5.371E+01
19173.14488	5.319E+01
19242.04947	5.349E+01
19310.95406	5.391E+01
19379.85866	5.297E+01
19448.76325	5.355E+01
19517.66784	5.318E+01
19586.57244	5.267E+01
19655.47703	5.277E+01
19724.38163	5.254E+01
19793.28622	5.249E+01
19862.19081	5.167E+01
19931.09541	5.176E+01
20000	5.155E+01
