freq	 01Vpk	 02Vpk	 05Vpk	 10Vpk	 20Vpk	 50Vpk
Hz	 m/s	 m/s	 m/s	 m/s	 m/s	 m/s
1.057884e+04	 7.770016e-05	 1.613741e-04	 3.788473e-04	 7.351031e-04	 1.413932e-03	 4.189010e-03
1.059075e+04	 8.092005e-05	 1.657109e-04	 3.962449e-04	 7.757885e-04	 1.516305e-03	 4.499431e-03
1.060267e+04	 8.701121e-05	 1.745660e-04	 4.191101e-04	 8.192589e-04	 1.621637e-03	 4.829205e-03
1.061461e+04	 9.635794e-05	 1.817791e-04	 4.451573e-04	 8.692765e-04	 1.805435e-03	 5.145124e-03
1.062657e+04	 9.696336e-05	 1.944565e-04	 4.841840e-04	 9.411019e-04	 1.958467e-03	 5.509275e-03
1.063853e+04	 1.108453e-04	 2.092607e-04	 5.219802e-04	 1.023396e-03	 2.112340e-03	 6.012701e-03
1.065051e+04	 1.116205e-04	 2.213971e-04	 5.568039e-04	 1.092123e-03	 2.259740e-03	 6.403914e-03
1.066250e+04	 1.162235e-04	 2.265319e-04	 5.868199e-04	 1.128089e-03	 2.331607e-03	 6.833524e-03
1.067451e+04	 1.165652e-04	 2.261057e-04	 5.803224e-04	 1.144789e-03	 2.360012e-03	 6.974569e-03
1.068653e+04	 1.025718e-04	 2.127000e-04	 5.502705e-04	 1.116928e-03	 2.242057e-03	 6.760670e-03
1.069856e+04	 9.117408e-05	 1.838704e-04	 4.811696e-04	 1.018551e-03	 1.997562e-03	 6.113478e-03
1.071061e+04	 7.675860e-05	 1.426006e-04	 3.964046e-04	 8.837510e-04	 1.654715e-03	 5.222034e-03
1.072267e+04	 6.019198e-05	 1.154331e-04	 3.149885e-04	 7.260393e-04	 1.340523e-03	 4.315382e-03
1.073475e+04	 4.984090e-05	 1.004734e-04	 2.569659e-04	 5.903404e-04	 1.091365e-03	 3.537155e-03
1.074683e+04	 4.175974e-05	 8.024313e-05	 2.151333e-04	 4.992141e-04	 9.313654e-04	 2.939476e-03
1.075894e+04	 3.591477e-05	 7.812045e-05	 1.851575e-04	 4.283241e-04	 8.292803e-04	 2.400291e-03
1.077105e+04	 3.815945e-05	 7.293531e-05	 1.767678e-04	 3.856812e-04	 7.598066e-04	 2.088767e-03
1.078318e+04	 3.525453e-05	 7.391823e-05	 1.752065e-04	 3.636361e-04	 7.494566e-04	 1.790590e-03
1.079532e+04	 3.838545e-05	 7.858409e-05	 1.857553e-04	 3.730209e-04	 7.664481e-04	 1.621445e-03
1.080748e+04	 4.536463e-05	 8.320144e-05	 2.102779e-04	 3.928289e-04	 8.271069e-04	 1.626977e-03
1.081965e+04	 4.295896e-05	 9.773871e-05	 2.288991e-04	 4.273336e-04	 9.016408e-04	 1.733444e-03
1.083183e+04	 5.626012e-05	 1.075059e-04	 2.655771e-04	 4.716402e-04	 9.917841e-04	 1.860961e-03
1.084403e+04	 5.553632e-05	 1.175150e-04	 2.889439e-04	 5.261252e-04	 1.087473e-03	 2.023736e-03
1.085624e+04	 6.440621e-05	 1.330864e-04	 3.220359e-04	 5.813503e-04	 1.188739e-03	 2.216450e-03
1.086846e+04	 7.378257e-05	 1.459781e-04	 3.620548e-04	 6.448048e-04	 1.295804e-03	 2.531137e-03
1.088070e+04	 7.351448e-05	 1.561942e-04	 3.990548e-04	 7.076749e-04	 1.393926e-03	 2.767330e-03
1.089295e+04	 8.411041e-05	 1.645918e-04	 4.193136e-04	 7.635816e-04	 1.480157e-03	 2.922790e-03
1.090522e+04	 7.946848e-05	 1.624073e-04	 4.223300e-04	 7.958067e-04	 1.549325e-03	 2.946723e-03
1.091750e+04	 7.931951e-05	 1.639592e-04	 3.989993e-04	 7.960805e-04	 1.545271e-03	 2.895780e-03
1.092979e+04	 7.035767e-05	 1.474711e-04	 3.662478e-04	 7.615408e-04	 1.470202e-03	 2.760188e-03
1.094210e+04	 6.216602e-05	 1.234867e-04	 3.156897e-04	 6.931714e-04	 1.334920e-03	 2.439376e-03
1.095442e+04	 5.159452e-05	 1.081416e-04	 2.746417e-04	 6.184923e-04	 1.175424e-03	 2.121998e-03
1.096676e+04	 4.458478e-05	 9.406821e-05	 2.319476e-04	 5.359151e-04	 1.029954e-03	 1.802248e-03
1.097911e+04	 3.793693e-05	 7.690101e-05	 2.072480e-04	 4.514702e-04	 8.946460e-04	 1.539234e-03
1.099147e+04	 3.322716e-05	 6.448080e-05	 1.709481e-04	 3.888856e-04	 7.812837e-04	 1.345388e-03
1.100385e+04	 2.791124e-05	 5.499899e-05	 1.508467e-04	 3.329762e-04	 6.775118e-04	 1.173427e-03
1.101624e+04	 2.398101e-05	 4.695828e-05	 1.297163e-04	 2.869461e-04	 5.847080e-04	 9.358505e-04
1.102864e+04	 2.081703e-05	 4.438212e-05	 1.141406e-04	 2.454234e-04	 4.933159e-04	 8.288968e-04
1.104106e+04	 1.708467e-05	 3.578732e-05	 9.262120e-05	 2.087117e-04	 4.150944e-04	 6.699968e-04
1.105349e+04	 1.459352e-05	 3.053709e-05	 7.816777e-05	 1.841161e-04	 3.326033e-04	 6.007151e-04
1.106594e+04	 1.286513e-05	 2.394027e-05	 6.842990e-05	 1.539896e-04	 2.875260e-04	 5.152779e-04
1.107840e+04	 1.025690e-05	 2.238541e-05	 5.673903e-05	 1.305003e-04	 2.460808e-04	 4.247233e-04
1.109087e+04	 8.775430e-06	 1.736590e-05	 4.643947e-05	 1.112831e-04	 2.152587e-04	 3.548254e-04
1.110336e+04	 6.837769e-06	 1.577952e-05	 3.908463e-05	 9.055580e-05	 1.854484e-04	 3.047289e-04
1.111587e+04	 6.670631e-06	 1.410523e-05	 3.252081e-05	 7.533801e-05	 1.545017e-04	 2.763714e-04
1.112838e+04	 5.470592e-06	 1.040236e-05	 2.738506e-05	 6.496926e-05	 1.335448e-04	 2.314075e-04
1.114091e+04	 4.195519e-06	 9.907344e-06	 2.470747e-05	 5.427307e-05	 1.123603e-04	 2.195494e-04
1.115346e+04	 5.201943e-06	 9.120473e-06	 2.153278e-05	 4.687498e-05	 9.678141e-05	 2.212723e-04
1.116602e+04	 3.645244e-06	 7.512294e-06	 2.186943e-05	 4.388892e-05	 8.551772e-05	 2.377197e-04
1.117859e+04	 3.767674e-06	 8.499529e-06	 2.238586e-05	 4.225541e-05	 8.056440e-05	 2.450770e-04
1.119118e+04	 3.518683e-06	 8.100972e-06	 2.322837e-05	 4.245980e-05	 8.250292e-05	 2.782992e-04
1.120378e+04	 5.141050e-06	 9.622848e-06	 2.461976e-05	 4.535478e-05	 9.010035e-05	 2.995158e-04
1.121640e+04	 5.821172e-06	 1.441799e-05	 2.715149e-05	 5.109446e-05	 9.551059e-05	 3.249704e-04
1.122903e+04	 6.133602e-06	 1.045984e-05	 2.968945e-05	 5.657787e-05	 1.072705e-04	 3.533675e-04
1.124167e+04	 7.050039e-06	 1.105871e-05	 3.136537e-05	 6.028221e-05	 1.218147e-04	 3.536261e-04
