freq	Measured velocity
Hz	m/s
61360	9.120E-05
61380	8.500E-05
61400	7.860E-05
61420	7.220E-05
61440	6.740E-05
61460	6.260E-05
61480	5.880E-05
61500	5.580E-05
61520	5.380E-05
61540	5.280E-05
61560	5.240E-05
61580	5.280E-05
61600	5.360E-05
61620	5.500E-05
61640	5.660E-05
61660	5.860E-05
61680	6.060E-05
61700	6.300E-05
61720	6.520E-05
61740	6.780E-05
61760	7.060E-05
61780	7.300E-05
61800	7.560E-05
61820	7.860E-05
61840	8.140E-05
61860	8.400E-05
61880	8.640E-05
61900	8.900E-05
61920	9.200E-05
61940	9.420E-05
61960	9.680E-05
61980	9.880E-05
62000	1.010E-04
62020	1.034E-04
62040	1.052E-04
62060	1.070E-04
62080	1.098E-04
62100	1.112E-04
62120	1.142E-04
62140	1.166E-04
62160	1.190E-04
62180	1.210E-04
62200	1.228E-04
62220	1.254E-04
62240	1.284E-04
62260	1.306E-04
62280	1.342E-04
62300	1.366E-04
62320	1.380E-04
62340	1.406E-04
62360	1.428E-04
62380	1.462E-04
62400	1.484E-04
62420	1.504E-04
62440	1.526E-04
62460	1.546E-04
62480	1.574E-04
62500	1.602E-04
62520	1.624E-04
62540	1.650E-04
62560	1.672E-04
62580	1.694E-04
62600	1.724E-04
62620	1.750E-04
62640	1.784E-04
62660	1.806E-04
62680	1.840E-04
62700	1.872E-04
62720	1.908E-04
62740	1.938E-04
62760	1.966E-04
62780	1.988E-04
62800	2.000E-04
62820	2.040E-04
62840	2.060E-04
62860	2.080E-04
62880	2.100E-04
62900	2.120E-04
62920	2.140E-04
62940	2.160E-04
62960	2.180E-04
62980	2.200E-04
63000	2.200E-04
63020	2.240E-04
63040	2.240E-04
63060	2.260E-04
63080	2.300E-04
63100	2.300E-04
63120	2.300E-04
63140	2.300E-04
63160	2.320E-04
63180	2.300E-04
63200	2.280E-04
63220	2.260E-04
63240	2.240E-04
63260	2.180E-04
63280	2.140E-04
63300	2.100E-04
63320	2.080E-04
63340	2.060E-04
63360	2.080E-04
63380	2.080E-04
63400	2.100E-04
63420	2.140E-04
63440	2.160E-04
63460	2.200E-04
63480	2.240E-04
63500	2.300E-04
63520	2.360E-04
63540	2.460E-04
63560	2.540E-04
63580	2.620E-04
63600	2.720E-04
63620	2.820E-04
63640	2.920E-04
63660	3.020E-04
63680	3.100E-04
63700	3.180E-04
63720	3.280E-04
63740	3.340E-04
63760	3.440E-04
63780	3.480E-04
63800	3.580E-04
63820	3.660E-04
63840	3.700E-04
63860	3.780E-04
63880	3.840E-04
63900	3.920E-04
63920	3.960E-04
63940	4.020E-04
63960	4.060E-04
63980	4.100E-04
64000	4.160E-04
64020	4.220E-04
64040	4.240E-04
64060	4.280E-04
64080	4.300E-04
64100	4.340E-04
64120	4.360E-04
64140	4.380E-04
64160	4.400E-04
64180	4.420E-04
64200	4.460E-04
64220	4.500E-04
64240	4.520E-04
64260	4.560E-04
64280	4.600E-04
64300	4.640E-04
64320	4.700E-04
64340	4.740E-04
64360	4.760E-04
64380	4.800E-04
64400	4.840E-04
64420	4.920E-04
64440	4.940E-04
64460	5.000E-04
64480	5.060E-04
64500	5.120E-04
64520	5.160E-04
64540	5.220E-04
64560	5.320E-04
64580	5.360E-04
64600	5.440E-04
64620	5.480E-04
64640	5.560E-04
64660	5.600E-04
64680	5.680E-04
64700	5.760E-04
