freq	SPL
Hz	dB
63137.82991	6.876E+01
63152.49267	6.861E+01
63167.15543	6.857E+01
63181.81818	6.858E+01
63196.48094	6.852E+01
63211.1437	6.822E+01
63225.80645	6.786E+01
63240.46921	6.762E+01
63255.13196	6.736E+01
63269.79472	6.701E+01
63284.45748	6.674E+01
63299.12023	6.649E+01
63313.78299	6.608E+01
63328.44575	6.582E+01
63343.1085	6.588E+01
63357.77126	6.589E+01
63372.43402	6.559E+01
63387.09677	6.486E+01
63401.75953	6.383E+01
63416.42229	6.275E+01
63431.08504	6.203E+01
63445.7478	6.171E+01
63460.41056	6.140E+01
63475.07331	6.110E+01
63489.73607	6.095E+01
63504.39883	6.096E+01
63519.06158	6.097E+01
63533.72434	6.066E+01
63548.3871	6.007E+01
63563.04985	5.963E+01
63577.71261	5.969E+01
63592.37537	6.035E+01
63607.03812	6.109E+01
63621.70088	6.163E+01
63636.36364	6.196E+01
63651.02639	6.214E+01
63665.68915	6.229E+01
63680.35191	6.279E+01
63695.01466	6.365E+01
63709.67742	6.432E+01
63724.34018	6.483E+01
63739.00293	6.543E+01
63753.66569	6.594E+01
63768.32845	6.623E+01
63782.9912	6.655E+01
63797.65396	6.696E+01
63812.31672	6.726E+01
63826.97947	6.746E+01
63841.64223	6.766E+01
63856.30499	6.795E+01
63870.96774	6.830E+01
63885.6305	6.857E+01
63900.29326	6.877E+01
63914.95601	6.898E+01
63929.61877	6.925E+01
63944.28152	6.958E+01
63958.94428	6.992E+01
63973.60704	7.020E+01
63988.26979	7.038E+01
64002.93255	7.051E+01
64017.59531	7.069E+01
64032.25806	7.095E+01
64046.92082	7.120E+01
64061.58358	7.128E+01
64076.24633	7.127E+01
64090.90909	7.132E+01
64105.57185	7.134E+01
64120.2346	7.129E+01
64134.89736	7.123E+01
64149.56012	7.118E+01
64164.22287	7.114E+01
64178.88563	7.103E+01
64193.54839	7.085E+01
64208.21114	7.070E+01
64222.8739	7.065E+01
64237.53666	7.067E+01
64252.19941	7.066E+01
64266.86217	7.055E+01
64281.52493	7.040E+01
64296.18768	7.027E+01
64310.85044	7.016E+01
64325.5132	7.007E+01
64340.17595	6.997E+01
64354.83871	6.976E+01
64369.50147	6.945E+01
64384.16422	6.920E+01
64398.82698	6.905E+01
64413.48974	6.891E+01
64428.15249	6.876E+01
64442.81525	6.862E+01
64457.47801	6.860E+01
64472.14076	6.873E+01
64486.80352	6.895E+01
64501.46628	6.911E+01
64516.12903	6.908E+01
64530.79179	6.898E+01
64545.45455	6.892E+01
64560.1173	6.895E+01
64574.78006	6.900E+01
64589.44282	6.897E+01
64604.10557	6.887E+01
64618.76833	6.876E+01
64633.43109	6.877E+01
64648.09384	6.890E+01
64662.7566	6.908E+01
64677.41935	6.922E+01
64692.08211	6.925E+01
64706.74487	6.924E+01
64721.40762	6.927E+01
64736.07038	6.938E+01
64750.73314	6.951E+01
64765.39589	6.962E+01
64780.05865	6.969E+01
64794.72141	6.967E+01
64809.38416	6.952E+01
64824.04692	6.931E+01
64838.70968	6.923E+01
64853.37243	6.922E+01
64868.03519	6.920E+01
64882.69795	6.927E+01
64897.3607	6.942E+01
64912.02346	6.950E+01
64926.68622	6.964E+01
64941.34897	6.993E+01
64956.01173	7.020E+01
64970.67449	7.035E+01
64985.33724	7.049E+01
65000	7.070E+01
65014.66276	7.098E+01
65029.32551	7.121E+01
65043.98827	7.129E+01
65058.65103	7.127E+01
65073.31378	7.124E+01
65087.97654	7.130E+01
65102.6393	7.138E+01
65117.30205	7.142E+01
65131.96481	7.147E+01
65146.62757	7.156E+01
65161.29032	7.166E+01
65175.95308	7.181E+01
65190.61584	7.202E+01
65205.27859	7.219E+01
65219.94135	7.223E+01
65234.60411	7.221E+01
65249.26686	7.219E+01
65263.92962	7.223E+01
65278.59238	7.230E+01
65293.25513	7.235E+01
65307.91789	7.234E+01
65322.58065	7.228E+01
65337.2434	7.224E+01
65351.90616	7.220E+01
65366.56891	7.217E+01
65381.23167	7.219E+01
65395.89443	7.223E+01
65410.55718	7.219E+01
65425.21994	7.208E+01
65439.8827	7.201E+01
65454.54545	7.196E+01
65469.20821	7.191E+01
65483.87097	7.179E+01
65498.53372	7.161E+01
65513.19648	7.145E+01
65527.85924	7.133E+01
65542.52199	7.128E+01
65557.18475	7.131E+01
65571.84751	7.135E+01
65586.51026	7.129E+01
65601.17302	7.122E+01
65615.83578	7.130E+01
65630.49853	7.153E+01
65645.16129	7.177E+01
65659.82405	7.179E+01
65674.4868	7.164E+01
65689.14956	7.151E+01
65703.81232	7.143E+01
65718.47507	7.141E+01
65733.13783	7.138E+01
65747.80059	7.133E+01
65762.46334	7.130E+01
65777.1261	7.137E+01
65791.78886	7.159E+01
65806.45161	7.183E+01
65821.11437	7.204E+01
65835.77713	7.221E+01
65850.43988	7.239E+01
65865.10264	7.264E+01
65879.7654	7.286E+01
65894.42815	7.303E+01
65909.09091	7.321E+01
65923.75367	7.336E+01
65938.41642	7.340E+01
65953.07918	7.334E+01
65967.74194	7.324E+01
65982.40469	7.325E+01
65997.06745	7.336E+01
66011.73021	7.347E+01
66026.39296	7.351E+01
66041.05572	7.346E+01
66055.71848	7.343E+01
66070.38123	7.350E+01
66085.04399	7.366E+01
66099.70674	7.380E+01
66114.3695	7.380E+01
66129.03226	7.379E+01
66143.69501	7.386E+01
66158.35777	7.392E+01
66173.02053	7.394E+01
66187.68328	7.390E+01
66202.34604	7.378E+01
66217.0088	7.362E+01
66231.67155	7.355E+01
66246.33431	7.362E+01
66260.99707	7.376E+01
66275.65982	7.384E+01
66290.32258	7.376E+01
66304.98534	7.358E+01
66319.64809	7.344E+01
66334.31085	7.349E+01
66348.97361	7.361E+01
66363.63636	7.355E+01
66378.29912	7.341E+01
66392.96188	7.332E+01
66407.62463	7.326E+01
66422.28739	7.325E+01
66436.95015	7.329E+01
66451.6129	7.327E+01
66466.27566	7.310E+01
66480.93842	7.297E+01
66495.60117	7.298E+01
66510.26393	7.306E+01
66524.92669	7.312E+01
66539.58944	7.313E+01
66554.2522	7.305E+01
66568.91496	7.291E+01
66583.57771	7.289E+01
66598.24047	7.297E+01
66612.90323	7.302E+01
66627.56598	7.306E+01
66642.22874	7.310E+01
66656.8915	7.313E+01
66671.55425	7.318E+01
66686.21701	7.330E+01
66700.87977	7.342E+01
66715.54252	7.343E+01
66730.20528	7.346E+01
66744.86804	7.363E+01
66759.53079	7.398E+01
66774.19355	7.434E+01
66788.8563	7.451E+01
66803.51906	7.455E+01
66818.18182	7.457E+01
66832.84457	7.464E+01
66847.50733	7.478E+01
66862.17009	7.496E+01
66876.83284	7.513E+01
66891.4956	7.524E+01
66906.15836	7.529E+01
66920.82111	7.529E+01
66935.48387	7.529E+01
66950.14663	7.532E+01
66964.80938	7.542E+01
66979.47214	7.555E+01
66994.1349	7.567E+01
67008.79765	7.572E+01
67023.46041	7.571E+01
67038.12317	7.564E+01
67052.78592	7.558E+01
67067.44868	7.549E+01
67082.11144	7.507E+01
67096.77419	7.433E+01
67111.43695	7.359E+01
67126.09971	7.288E+01
67140.76246	7.213E+01
67155.42522	7.149E+01
67170.08798	7.116E+01
67184.75073	7.133E+01
67199.41349	7.203E+01
67214.07625	7.308E+01
67228.739	7.412E+01
67243.40176	7.492E+01
67258.06452	7.554E+01
67272.72727	7.603E+01
67287.39003	7.634E+01
67302.05279	7.654E+01
67316.71554	7.670E+01
67331.3783	7.678E+01
67346.04106	7.678E+01
67360.70381	7.679E+01
67375.36657	7.680E+01
67390.02933	7.680E+01
67404.69208	7.679E+01
67419.35484	7.673E+01
67434.0176	7.656E+01
67448.68035	7.640E+01
67463.34311	7.642E+01
67478.00587	7.652E+01
67492.66862	7.657E+01
67507.33138	7.657E+01
67521.99413	7.652E+01
67536.65689	7.643E+01
67551.31965	7.636E+01
67565.9824	7.635E+01
67580.64516	7.639E+01
67595.30792	7.640E+01
67609.97067	7.631E+01
67624.63343	7.622E+01
67639.29619	7.629E+01
67653.95894	7.641E+01
67668.6217	7.646E+01
67683.28446	7.644E+01
67697.94721	7.640E+01
67712.60997	7.637E+01
67727.27273	7.639E+01
67741.93548	7.646E+01
67756.59824	7.654E+01
67771.261	7.663E+01
67785.92375	7.670E+01
67800.58651	7.675E+01
67815.24927	7.677E+01
67829.91202	7.679E+01
67844.57478	7.684E+01
67859.23754	7.693E+01
67873.90029	7.707E+01
67888.56305	7.725E+01
67903.22581	7.751E+01
67917.88856	7.782E+01
67932.55132	7.803E+01
67947.21408	7.810E+01
67961.87683	7.818E+01
67976.53959	7.826E+01
67991.20235	7.834E+01
68005.8651	7.847E+01
68020.52786	7.866E+01
68035.19062	7.884E+01
68049.85337	7.895E+01
68064.51613	7.897E+01
68079.17889	7.895E+01
68093.84164	7.893E+01
68108.5044	7.898E+01
68123.16716	7.907E+01
68137.82991	7.908E+01
68152.49267	7.903E+01
68167.15543	7.898E+01
68181.81818	7.891E+01
68196.48094	7.888E+01
68211.1437	7.893E+01
68225.80645	7.896E+01
68240.46921	7.891E+01
68255.13196	7.884E+01
68269.79472	7.883E+01
68284.45748	7.884E+01
68299.12023	7.883E+01
68313.78299	7.876E+01
68328.44575	7.863E+01
68343.1085	7.844E+01
68357.77126	7.829E+01
68372.43402	7.816E+01
68387.09677	7.801E+01
68401.75953	7.784E+01
68416.42229	7.768E+01
68431.08504	7.760E+01
68445.7478	7.764E+01
68460.41056	7.776E+01
68475.07331	7.787E+01
68489.73607	7.790E+01
68504.39883	7.793E+01
68519.06158	7.802E+01
68533.72434	7.816E+01
68548.3871	7.831E+01
68563.04985	7.840E+01
68577.71261	7.838E+01
68592.37537	7.823E+01
68607.03812	7.812E+01
68621.70088	7.810E+01
68636.36364	7.811E+01
68651.02639	7.813E+01
68665.68915	7.815E+01
68680.35191	7.821E+01
68695.01466	7.833E+01
68709.67742	7.850E+01
68724.34018	7.875E+01
68739.00293	7.908E+01
68753.66569	7.934E+01
68768.32845	7.942E+01
68782.9912	7.939E+01
68797.65396	7.932E+01
68812.31672	7.931E+01
68826.97947	7.938E+01
68841.64223	7.949E+01
68856.30499	7.955E+01
68870.96774	7.957E+01
68885.6305	7.967E+01
68900.29326	7.983E+01
68914.95601	7.997E+01
68929.61877	8.006E+01
68944.28152	8.012E+01
68958.94428	8.020E+01
68973.60704	8.032E+01
68988.26979	8.045E+01
69002.93255	8.055E+01
69017.59531	8.060E+01
69032.25806	8.062E+01
69046.92082	8.066E+01
69061.58358	8.080E+01
69076.24633	8.101E+01
69090.90909	8.122E+01
69105.57185	8.135E+01
69120.2346	8.140E+01
69134.89736	8.149E+01
69149.56012	8.164E+01
69164.22287	8.180E+01
