freq	Calculated velocity
Hz	m/s
23250 	0.001137400000 
23300 	0.001158500000 
23350 	0.001180500000 
23400 	0.001203600000 
23450 	0.001227700000 
23500 	0.001253100000 
23550 	0.001279700000 
23600 	0.001307700000 
23650 	0.001337300000 
23700 	0.001368500000 
23750 	0.001401600000 
23800 	0.001436700000 
23850 	0.001474000000 
23900 	0.001513900000 
23950 	0.001556500000 
24000 	0.001602200000 
24050 	0.001651400000 
24100 	0.001704500000 
24150 	0.001762100000 
24200 	0.001824700000 
24250 	0.001893100000 
24300 	0.001968200000 
24350 	0.002051100000 
24400 	0.002143000000 
24450 	0.002245700000 
24500 	0.002361200000 
24550 	0.002492000000 
24600 	0.002641700000 
24650 	0.002814500000 
24700 	0.003016300000 
24750 	0.003255200000 
24800 	0.003542300000 
24850 	0.003893500000 
24900 	0.004332300000 
24950 	0.004893800000 
25000 	0.005633300000 
25050 	0.006636900000 
25100 	0.008033700000 
25150 	0.009957500000 
25200 	0.012213000000 
25250 	0.013345000000 
25300 	0.011844000000 
25350 	0.009282300000 
25400 	0.007166300000 
25450 	0.005658900000 
25500 	0.004590000000 
25550 	0.003810100000 
25600 	0.003221900000 
25650 	0.002764900000 
25700 	0.002400500000 
25750 	0.002103600000 
25800 	0.001857100000 
25850 	0.001649200000 
25900 	0.001471500000 
25950 	0.001317800000 
26000 	0.001183400000 
26050 	0.001064800000 
26100 	0.000959390000 
26150 	0.000864940000 
26200 	0.000779780000 
26250 	0.000702550000 
26300 	0.000632150000 
26350 	0.000567660000 
26400 	0.000508330000 
26450 	0.000453570000 
26500 	0.000402840000 
26550 	0.000355730000 
26600 	0.000311900000 
26650 	0.000271080000 
26700 	0.000233100000 
26750 	0.000197870000 
26800 	0.000165450000 
26850 	0.000136120000 
26900 	0.000110570000 
26950 	0.000090215000 
27000 	0.000077379000 
27050 	0.000074411000 
27100 	0.000081162000 
27150 	0.000094699000 
27200 	0.000111950000 
27250 	0.000130990000 
27300 	0.000150790000 
27350 	0.000170820000 
27400 	0.000190800000 
27450 	0.000210580000 
27500 	0.000230090000 
27550 	0.000249290000 
27600 	0.000268160000 
27650 	0.000286720000 
27700 	0.000304960000 
27750 	0.000322890000 
27800 	0.000340540000 
27850 	0.000357920000 
27900 	0.000375040000 
27950 	0.000391930000 
28000 	0.000408590000 
28050 	0.000425060000 
28100 	0.000441340000 
28150 	0.000457450000 
28200 	0.000473400000 
28250 	0.000489220000 
28300 	0.000504910000 
28350 	0.000520500000 
28400 	0.000535990000 
28450 	0.000551400000 
28500 	0.000566740000 
28550 	0.000582030000 
28600 	0.000597280000 
28650 	0.000612500000 
28700 	0.000627710000 
28750 	0.000642910000 
28800 	0.000658120000 
28850 	0.000673350000 
28900 	0.000688620000 
